h_tot_m [mm],PT8_w_m [°C],PT6_m [°C],PT5_m [°C],PT4_m [°C],PT3_m [°C],PT3_m [°C],PT1_c_m [°C],time_h_m [h]
0,16.75547,16.01255,15.56968,14.63584,12.38657,12.38657,-0.07716472,0.033333333
0.00963211,16.75986,15.99375,15.50132,14.49302,12.12016,12.12016,-0.4500326,0.066666667
0.018481252,16.78135,15.96299,15.42051,14.32911,11.84896,11.84896,-0.8834473,0.1
0.030608177,16.79722,15.94199,15.3624,14.16841,11.56792,11.56792,-1.245467,0.133333333
0.042032722,16.84971,15.93003,15.30235,14.03975,11.34163,11.34163,-1.479077,0.166666667
0.052342412,16.88413,15.91318,15.23838,13.89721,11.10297,11.10297,-1.707894,0.2
0.062416552,16.88633,15.88657,15.15037,13.72768,10.83404,10.83404,-1.947559,0.233333333
0.071558002,16.88694,15.85679,15.0676,13.56471,10.5916,10.5916,-2.172591,0.266666667
0.081036087,16.8707,15.77695,14.92954,13.37499,10.32999,10.32999,-2.421338,0.3
0.087282657,16.92026,15.76817,14.85899,13.22968,10.11051,10.11051,-2.603988,0.333333333
0.092982292,16.89683,15.70982,14.7562,13.05889,9.867562,9.867562,-2.801522,0.366666667
0.096536632,16.94346,15.66856,14.68394,12.93048,9.678858,9.678858,-2.925391,0.4
0.098951337,16.91587,15.61411,14.54356,12.72361,9.431751,9.431751,-3.116618,0.433333333
0.102292047,16.96128,15.60483,14.50059,12.62623,9.253264,9.253264,-3.217782,0.466666667
0.106050472,16.96567,15.55405,14.40509,12.46124,9.052955,9.052955,-3.353381,0.5
0.112095372,16.95469,15.48692,14.27739,12.27708,8.834987,8.834987,-3.526319,0.533333333
0.119856822,16.9459,15.40488,14.18228,12.12924,8.643254,8.643254,-3.65599,0.566666667
0.132391472,16.95957,15.38755,14.06926,11.9978,8.47675,8.47675,-3.751351,0.6
0.146807172,16.95322,15.33384,13.9739,11.85123,8.312769,8.312769,-3.86967,0.633333333
0.160801422,16.96128,15.27158,13.88687,11.69784,8.125073,8.125073,-3.995052,0.666666667
0.176649122,16.94248,15.22153,13.79453,11.57246,7.968787,7.968787,-4.088647,0.7
0.192974572,16.94346,15.17234,13.70119,11.42299,7.816789,7.816789,-4.173666,0.733333333
0.206867722,16.90781,15.08286,13.55916,11.27301,7.630355,7.630355,-4.306995,0.766666667
0.224592222,16.91269,15.04038,13.49596,11.16604,7.514559,7.514559,-4.362622,0.8
0.238523922,16.88694,14.94688,13.36213,10.99045,7.311728,7.311728,-4.475139,0.833333333
0.249743022,16.87827,14.90537,13.28998,10.87895,7.189624,7.189624,-4.548804,0.866666667
0.261455572,16.85459,14.83945,13.17544,10.73843,7.036239,7.036239,-4.627515,0.9
0.273338322,16.87266,14.79966,13.10859,10.63676,6.906315,6.906315,-4.696387,0.933333333
0.274293922,16.84116,14.72398,13.0044,10.50129,6.786987,6.786987,-4.788217,0.966666667
0.278496222,16.80918,14.63731,12.89163,10.35358,6.619727,6.619727,-4.866928,1
0.274526572,16.79868,14.59043,12.8061,10.26011,6.525879,6.525879,-4.917635,1.033333333
0.275058272,16.78867,14.52134,12.71377,10.14356,6.378296,6.378296,-4.997229,1.066666667
0.274264322,16.79612,14.48203,12.62938,10.06838,6.291765,6.291765,-5.027629,1.1
0.274247672,16.76401,14.38966,12.5344,9.931893,6.147461,6.147461,-5.098267,1.133333333
0.274718272,16.76255,14.35787,12.44863,9.820386,6.039234,6.039234,-5.160832,1.166666667
0.281449822,16.72397,14.26503,12.34418,9.708879,5.909815,5.909815,-5.234245,1.2
0.286367872,16.67026,14.19111,12.23368,9.569369,5.787207,5.787207,-5.301603,1.233333333
0.292167672,16.63364,14.1008,12.1363,9.448779,5.672925,5.672925,-5.367448,1.266666667
0.299116172,16.61509,14.04959,12.06239,9.355185,5.549813,5.549813,-5.411093,1.3
0.303749072,16.62754,14.01023,12.00335,9.284546,5.472364,5.472364,-5.438086,1.333333333
0.309945572,16.58335,13.92269,11.91493,9.176572,5.358334,5.358334,-5.501661,1.366666667
0.317281272,16.57932,13.91815,11.85728,9.105429,5.298292,5.298292,-5.522852,1.4
0.324823872,16.48813,13.79377,11.71904,8.958602,5.13431,5.13431,-5.629818,1.433333333
0.331813822,16.48008,13.75619,11.65496,8.855926,5.056787,5.056787,-5.672453,1.466666667
0.338665022,16.44004,13.66057,11.54799,8.758041,4.958642,4.958642,-5.712313,1.5
0.343895472,16.41269,13.61768,11.47357,8.671258,4.874414,4.874414,-5.751921,1.533333333
0.349253222,16.38608,13.55802,11.4052,8.581067,4.792871,4.792871,-5.790772,1.566666667
0.353620072,16.37803,13.4976,11.34894,8.50778,4.711816,4.711816,-5.815747,1.6
0.357967372,16.34995,13.44311,11.2667,8.448999,4.62417,4.62417,-5.84148,1.633333333
0.363294122,16.30393,13.38332,11.20262,8.34607,4.548975,4.548975,-5.890422,1.666666667
0.370214022,16.29722,13.32681,11.11634,8.266097,4.479394,4.479394,-5.925236,1.7
0.377124322,16.25547,13.2544,11.04419,8.189153,4.394678,4.394678,-5.954248,1.733333333
0.387414422,16.23252,13.21177,10.97557,8.126588,4.342676,4.342676,-5.989063,1.766666667
0.401572222,16.20811,13.15854,10.91023,8.022649,4.254419,4.254419,-6.000668,1.8
0.414621372,16.14561,13.06166,10.78687,7.930566,4.149316,4.149316,-6.080893,1.833333333
0.426390672,16.11143,12.99985,10.73237,7.858416,4.084375,4.084375,-6.107887,1.866666667
0.435762422,16.06797,12.95116,10.65404,7.780209,4.013574,4.013574,-6.138538,1.9
0.444338822,16.02122,12.88482,10.58025,7.694434,3.922998,3.922998,-6.173479,1.933333333
0.456861522,15.98936,12.83385,10.51087,7.638428,3.860987,3.860987,-6.201229,1.966666667
0.470753672,15.97251,12.76196,10.44679,7.558708,3.802637,3.802637,-6.224691,2
0.477480922,15.91636,12.69813,10.36228,7.477474,3.719385,3.719385,-6.269092,2.033333333
0.484259622,15.90122,12.64767,10.32166,7.418441,3.654688,3.654688,-6.291797,2.066666667
0.494031922,15.82578,12.56139,10.22807,7.294067,3.567407,3.567407,-6.363192,2.1
