h_tot_m [mm],PT8_c_m,PT6_m,PT5_m,PT4_m,PT3_m,PT3_m,PT1_w_m,time_h_m [h]
0,17.169,16.707,16.51,16.113,14.554,14.554,-0.739,0.033333333
0.002,17.199,16.717,16.491,16.018,14.19,14.19,-1.56,0.066666667
0.002,17.222,16.694,16.444,15.887,13.83,13.83,-2.239,0.1
0.004,17.239,16.673,16.366,15.727,13.415,13.415,-2.886,0.133333333
0.003,17.288,16.684,16.336,15.588,13.073,13.073,-3.421,0.166666667
0.003,17.334,16.682,16.295,15.416,12.693,12.693,-3.884,0.2
0.003,17.317,16.653,16.197,15.25,12.32,12.32,-4.349,0.233333333
0.005,17.358,16.647,16.121,15.068,11.954,11.954,-4.738,0.266666667
0.006,17.373,16.616,16.046,14.88,11.6,11.6,-5.073,0.3
0.007,17.433,16.614,15.989,14.712,11.272,11.272,-5.331,0.333333333
0.009,17.428,16.583,15.912,14.521,10.956,10.956,-5.605,0.366666667
0.009,17.476,16.566,15.812,14.326,10.609,10.609,-5.818,0.4
0.01,17.484,16.532,15.717,14.149,10.302,10.302,-6.016,0.433333333
0.01,17.478,16.452,15.568,13.918,9.978,9.978,-6.26,0.466666667
0.011,17.523,16.425,15.495,13.748,9.73,9.73,-6.4,0.5
0.013,17.5,16.354,15.374,13.543,9.425,9.425,-6.584,0.533333333
0.016,17.534,16.315,15.251,13.316,9.129,9.129,-6.731,0.566666667
0.021,17.539,16.251,15.151,13.146,8.871,8.871,-6.859,0.6
0.023,17.565,16.226,15.05,12.976,8.656,8.656,-6.951,0.633333333
0.028,17.604,16.215,14.972,12.82,8.472,8.472,-7.033,0.666666667
0.034,17.573,16.121,14.819,12.614,8.178,8.178,-7.177,0.7
0.037,17.588,16.042,14.687,12.408,7.968,7.968,-7.277,0.733333333
0.04,17.57,15.994,14.571,12.218,7.742,7.742,-7.374,0.766666667
0.044,17.577,15.915,14.452,12.063,7.535,7.535,-7.466,0.8
0.046,17.554,15.833,14.31,11.867,7.314,7.314,-7.563,0.833333333
0.047,17.589,15.804,14.235,11.732,7.15,7.15,-7.625,0.866666667
0.048,17.584,15.752,14.12,11.563,6.963,6.963,-7.682,0.9
0.05,17.584,15.679,14.007,11.422,6.782,6.782,-7.751,0.933333333
0.052,17.562,15.6,13.88,11.252,6.593,6.593,-7.823,0.966666667
0.054,17.543,15.53,13.768,11.103,6.43,6.43,-7.897,1
0.053,17.56,15.494,13.679,10.937,6.278,6.278,-7.932,1.033333333
0.056,17.538,15.398,13.567,10.806,6.106,6.106,-7.988,1.066666667
0.057,17.529,15.344,13.46,10.653,5.985,5.985,-8.036,1.1
0.058,17.507,15.265,13.336,10.494,5.822,5.822,-8.104,1.133333333
0.06,17.486,15.2,13.234,10.367,5.68,5.68,-8.159,1.166666667
0.061,17.463,15.107,13.139,10.223,5.516,5.516,-8.203,1.2
0.062,17.418,15.023,13.013,10.073,5.346,5.346,-8.252,1.233333333
0.064,17.397,14.967,12.901,9.94,5.225,5.225,-8.327,1.266666667
0.066,17.37,14.891,12.782,9.796,5.101,5.101,-8.36,1.3
0.068,17.373,14.827,12.713,9.7,4.993,4.993,-8.378,1.333333333
0.069,17.315,14.722,12.571,9.541,4.855,4.855,-8.461,1.366666667
0.07,17.286,14.653,12.478,9.425,4.745,4.745,-8.49,1.4
0.072,17.25,14.607,12.376,9.305,4.62,4.62,-8.542,1.433333333
0.075,17.236,14.523,12.299,9.189,4.506,4.506,-8.541,1.466666667
0.076,17.212,14.454,12.194,9.084,4.407,4.407,-8.588,1.5
0.079,17.189,14.388,12.12,8.955,4.314,4.314,-8.625,1.533333333
0.083,17.162,14.313,12.011,8.856,4.224,4.224,-8.65,1.566666667
0.085,17.126,14.248,11.927,8.746,4.1,4.1,-8.697,1.6
0.091,17.104,14.169,11.838,8.639,4.023,4.023,-8.726,1.633333333
0.093,17.072,14.09,11.753,8.566,3.916,3.916,-8.778,1.666666667
0.101,17.019,14.006,11.629,8.43,3.79,3.79,-8.815,1.7
0.105,17.006,13.971,11.572,8.356,3.726,3.726,-8.811,1.733333333
0.108,16.96,13.893,11.48,8.242,3.627,3.627,-8.856,1.766666667
0.11,16.914,13.808,11.368,8.142,3.518,3.518,-8.9,1.8
0.113,16.873,13.751,11.307,8.063,3.441,3.441,-8.917,1.833333333
0.114,16.879,13.696,11.252,8.001,3.404,3.404,-8.937,1.866666667
0.118,16.779,13.596,11.124,7.881,3.294,3.294,-8.971,1.9
0.124,16.735,13.507,11.003,7.753,3.188,3.188,-9.033,1.933333333
0.131,16.705,13.46,10.962,7.698,3.13,3.13,-9.01,1.966666667
0.138,16.657,13.398,10.86,7.612,3.062,3.062,-9.065,2
0.145,16.622,13.324,10.797,7.526,2.979,2.979,-9.067,2.033333333
0.155,16.593,13.277,10.732,7.468,2.908,2.908,-9.075,2.066666667
0.158,16.568,13.211,10.66,7.371,2.844,2.844,-9.126,2.1
0.163,16.512,13.134,10.585,7.279,2.76,2.76,-9.132,2.133333333
0.171,16.453,13.054,10.477,7.177,2.667,2.667,-9.177,2.166666667
0.179,16.398,13,10.399,7.107,2.611,2.611,-9.202,2.2
0.186,16.36,12.924,10.343,7.034,2.535,2.535,-9.205,2.233333333
0.192,16.344,12.868,10.277,6.966,2.475,2.475,-9.223,2.266666667
0.199,16.252,12.774,10.185,6.855,2.388,2.388,-9.261,2.3
0.206,16.258,12.729,10.128,6.807,2.339,2.339,-9.257,2.333333333
0.213,16.186,12.66,10.054,6.723,2.271,2.271,-9.286,2.366666667
0.22,16.157,12.611,9.985,6.69,2.231,2.231,-9.293,2.4
0.228,16.103,12.53,9.904,6.597,2.142,2.142,-9.336,2.433333333
0.234,16.064,12.472,9.833,6.508,2.07,2.07,-9.344,2.466666667
0.24,16.001,12.378,9.741,6.42,1.972,1.972,-9.391,2.5
0.247,15.953,12.318,9.701,6.347,1.919,1.919,-9.406,2.533333333
0.253,15.925,12.273,9.651,6.301,1.87,1.87,-9.402,2.566666667
0.264,15.875,12.209,9.567,6.233,1.819,1.819,-9.436,2.6
0.272,15.847,12.14,9.506,6.17,1.762,1.762,-9.441,2.633333333
0.277,15.791,12.106,9.434,6.095,1.716,1.716,-9.465,2.666666667
0.284,15.76,12.086,9.388,6.064,1.694,1.694,-9.46,2.7
0.295,15.708,11.994,9.298,5.975,1.618,1.618,-9.49,2.733333333
0.301,15.643,11.932,9.238,5.909,1.537,1.537,-9.523,2.766666667
0.309,15.602,11.882,9.186,5.85,1.498,1.498,-9.532,2.8
0.317,15.587,11.822,9.126,5.807,1.465,1.465,-9.524,2.833333333
0.323,15.528,11.75,9.067,5.764,1.409,1.409,-9.543,2.866666667
0.332,15.473,11.684,8.986,5.665,1.349,1.349,-9.576,2.9
0.34,15.426,11.618,8.936,5.607,1.222,1.222,-9.603,2.933333333
0.345,15.394,11.585,8.87,5.557,1.189,1.189,-9.604,2.966666667
0.352,15.369,11.518,8.824,5.496,1.133,1.133,-9.615,3
0.359,15.333,11.5,8.765,5.469,1.1,1.1,-9.598,3.033333333
0.363,15.264,11.417,8.706,5.382,1.044,1.044,-9.649,3.066666667
0.37,15.213,11.344,8.638,5.34,0.968,0.968,-9.653,3.1
0.381,15.179,11.295,8.591,5.276,0.934,0.934,-9.66,3.133333333
0.389,15.158,11.262,8.558,5.232,0.911,0.911,-9.661,3.166666667
0.394,15.12,11.21,8.499,5.174,0.864,0.864,-9.665,3.2
0.401,15.049,11.154,8.43,5.106,0.808,0.808,-9.678,3.233333333
0.406,14.995,11.068,8.386,5.047,0.752,0.752,-9.705,3.266666667
0.407,14.973,11.041,8.344,5.03,0.723,0.723,-9.697,3.3
0.41,14.89,10.947,8.247,4.954,0.663,0.663,-9.747,3.333333333
0.414,14.843,10.881,8.179,4.9,0.589,0.589,-9.767,3.366666667
0.419,14.816,10.853,8.145,4.87,0.586,0.586,-9.763,3.4
0.426,14.772,10.801,8.104,4.825,0.534,0.534,-9.774,3.433333333
0.431,14.73,10.758,8.035,4.767,0.504,0.504,-9.787,3.466666667
0.437,14.668,10.698,7.981,4.722,0.444,0.444,-9.799,3.5
0.445,14.618,10.622,7.92,4.637,0.372,0.372,-9.833,3.533333333
0.45,14.594,10.602,7.898,4.618,0.375,0.375,-9.815,3.566666667
0.459,14.561,10.552,7.848,4.568,0.354,0.354,-9.814,3.6
0.465,14.493,10.5,7.787,4.527,0.291,0.291,-9.848,3.633333333
0.471,14.464,10.446,7.75,4.474,0.252,0.252,-9.836,3.666666667
0.477,14.368,10.364,7.655,4.387,0.188,0.188,-9.883,3.7
0.482,14.371,10.336,7.645,4.366,0.175,0.175,-9.868,3.733333333
0.489,14.334,10.294,7.593,4.346,0.116,0.116,-9.88,3.766666667
0.497,14.297,10.247,7.535,4.294,0.089,0.089,-9.911,3.8
0.502,14.234,10.195,7.485,4.246,0.028,0.028,-9.914,3.833333333
0.509,14.214,10.186,7.481,4.235,0.037,0.037,-9.888,3.866666667
0.515,14.132,10.086,7.364,4.143,-0.032,-0.032,-9.947,3.9
0.52,14.139,10.068,7.374,4.126,-0.057,-0.057,-9.911,3.933333333
0.524,14.071,9.995,7.3,4.071,-0.108,-0.108,-9.93,3.966666667
0.53,14.053,9.97,7.262,4.061,-0.11,-0.11,-9.926,4
0.537,14.011,9.915,7.214,4.005,-0.139,-0.139,-9.946,4.033333333
0.544,13.969,9.866,7.154,3.965,-0.183,-0.183,-9.969,4.066666667
0.551,13.956,9.853,7.148,3.935,-0.198,-0.198,-9.928,4.1
0.556,13.865,9.797,7.071,3.868,-0.282,-0.282,-9.997,4.133333333
0.562,13.85,9.744,7.056,3.833,-0.295,-0.295,-9.979,4.166666667
0.568,13.788,9.68,6.97,3.768,-0.351,-0.351,-10.012,4.2
0.573,13.762,9.658,6.964,3.754,-0.364,-0.364,-9.996,4.233333333
0.578,13.734,9.632,6.919,3.733,-0.376,-0.376,-9.981,4.266666667
0.584,13.653,9.544,6.852,3.649,-0.442,-0.442,-10.017,4.3
0.59,13.594,9.492,6.799,3.614,-0.502,-0.502,-10.048,4.333333333
0.596,13.608,9.493,6.804,3.598,-0.497,-0.497,-10.019,4.366666667
0.604,13.542,9.405,6.728,3.54,-0.559,-0.559,-10.048,4.4
0.61,13.518,9.354,6.683,3.497,-0.606,-0.606,-10.063,4.433333333
0.616,13.494,9.353,6.671,3.491,-0.626,-0.626,-10.021,4.466666667
0.622,13.456,9.288,6.626,3.455,-0.662,-0.662,-10.054,4.5
0.628,13.416,9.275,6.601,3.427,-0.687,-0.687,-10.052,4.533333333
0.636,13.357,9.214,6.525,3.387,-0.746,-0.746,-10.081,4.566666667
0.644,13.328,9.181,6.5,3.347,-0.792,-0.792,-10.08,4.6
0.652,13.297,9.146,6.461,3.326,-0.812,-0.812,-10.088,4.633333333
0.66,13.276,9.104,6.426,3.299,-0.854,-0.854,-10.082,4.666666667
0.667,13.228,9.05,6.384,3.258,-0.906,-0.906,-10.099,4.7
0.67,13.152,8.989,6.313,3.199,-0.964,-0.964,-10.126,4.733333333
0.677,13.142,8.956,6.292,3.18,-0.986,-0.986,-10.12,4.766666667
0.682,13.106,8.917,6.272,3.152,-1.027,-1.027,-10.134,4.8
0.691,13.07,8.89,6.202,3.098,-1.045,-1.045,-10.13,4.833333333
0.7,13.039,8.846,6.186,3.099,-1.084,-1.084,-10.124,4.866666667
0.709,12.992,8.778,6.132,3.039,-1.117,-1.117,-10.159,4.9
0.718,12.943,8.759,6.093,3.02,-1.141,-1.141,-10.159,4.933333333
0.722,12.901,8.726,6.05,2.972,-1.168,-1.168,-10.177,4.966666667
0.728,12.873,8.682,6.025,2.953,-1.204,-1.204,-10.167,5
0.736,12.832,8.65,6.009,2.937,-1.231,-1.231,-10.168,5.033333333
0.743,12.807,8.614,5.95,2.884,-1.261,-1.261,-10.171,5.066666667
0.751,12.728,8.547,5.896,2.836,-1.296,-1.296,-10.216,5.1
0.756,12.712,8.55,5.864,2.825,-1.316,-1.316,-10.195,5.133333333
0.764,12.636,8.461,5.814,2.752,-1.382,-1.382,-10.241,5.166666667
0.771,12.63,8.467,5.8,2.745,-1.373,-1.373,-10.207,5.2
0.78,12.606,8.446,5.781,2.738,-1.389,-1.389,-10.209,5.233333333
0.788,12.568,8.394,5.744,2.72,-1.407,-1.407,-10.205,5.266666667
0.794,12.536,8.354,5.711,2.674,-1.446,-1.446,-10.23,5.3
0.799,12.507,8.329,5.687,2.638,-1.458,-1.458,-10.233,5.333333333
0.806,12.467,8.272,5.627,2.6,-1.506,-1.506,-10.251,5.366666667
0.813,12.422,8.25,5.591,2.592,-1.517,-1.517,-10.248,5.4
0.82,12.4,8.212,5.566,2.556,-1.535,-1.535,-10.245,5.433333333
0.827,12.373,8.193,5.548,2.534,-1.562,-1.562,-10.266,5.466666667
0.833,12.344,8.13,5.514,2.484,-1.59,-1.59,-10.257,5.5
0.842,12.274,8.094,5.464,2.449,-1.638,-1.638,-10.28,5.533333333
0.852,12.231,8.041,5.394,2.4,-1.677,-1.677,-10.32,5.566666667
0.86,12.224,8.029,5.385,2.379,-1.677,-1.677,-10.296,5.6
0.869,12.212,8.004,5.37,2.388,-1.686,-1.686,-10.283,5.633333333
0.878,12.183,7.994,5.335,2.381,-1.699,-1.699,-10.283,5.666666667
0.885,12.125,7.934,5.276,2.315,-1.759,-1.759,-10.303,5.7
0.89,12.12,7.915,5.276,2.307,-1.741,-1.741,-10.303,5.733333333
0.896,12.057,7.854,5.201,2.257,-1.808,-1.808,-10.337,5.766666667
0.905,12.03,7.801,5.179,2.221,-1.838,-1.838,-10.344,5.8
0.911,12.027,7.805,5.167,2.215,-1.862,-1.862,-10.335,5.833333333
0.919,12.016,7.798,5.16,2.209,-1.846,-1.846,-10.314,5.866666667
0.932,11.954,7.736,5.105,2.173,-1.873,-1.873,-10.331,5.9
0.942,11.917,7.714,5.084,2.134,-1.909,-1.909,-10.338,5.933333333
0.95,11.889,7.672,5.043,2.103,-1.947,-1.947,-10.373,5.966666667
0.954,11.861,7.658,5.02,2.083,-1.956,-1.956,-10.345,6
0.962,11.817,7.626,4.989,2.039,-1.985,-1.985,-10.358,6.033333333
0.973,11.799,7.583,4.97,2.014,-2.005,-2.005,-10.355,6.066666667
0.981,11.762,7.556,4.949,2.008,-2.008,-2.008,-10.38,6.1
0.987,11.722,7.503,4.906,1.967,-2.049,-2.049,-10.384,6.133333333
0.993,11.701,7.483,4.866,1.936,-2.085,-2.085,-10.393,6.166666667
1,11.638,7.419,4.844,1.889,-2.108,-2.108,-10.391,6.2
1.008,11.635,7.421,4.821,1.9,-2.113,-2.113,-10.399,6.233333333
1.021,11.627,7.411,4.826,1.882,-2.119,-2.119,-10.374,6.266666667
1.029,11.595,7.384,4.781,1.856,-2.129,-2.129,-10.388,6.3
1.036,11.557,7.343,4.763,1.817,-2.183,-2.183,-10.396,6.333333333
1.042,11.495,7.282,4.699,1.779,-2.218,-2.218,-10.437,6.366666667
1.047,11.499,7.273,4.683,1.772,-2.217,-2.217,-10.424,6.4
1.053,11.462,7.224,4.659,1.75,-2.253,-2.253,-10.422,6.433333333
1.062,11.417,7.189,4.617,1.711,-2.278,-2.278,-10.44,6.466666667
1.069,11.401,7.163,4.589,1.69,-2.307,-2.307,-10.441,6.5
1.075,11.384,7.143,4.577,1.683,-2.318,-2.318,-10.434,6.533333333
1.078,11.365,7.111,4.558,1.666,-2.324,-2.324,-10.441,6.566666667
1.084,11.336,7.12,4.551,1.666,-2.318,-2.318,-10.426,6.6
1.089,11.353,7.109,4.55,1.669,-2.32,-2.32,-10.395,6.633333333
1.096,11.276,7.032,4.494,1.605,-2.382,-2.382,-10.439,6.666666667
1.105,11.244,7.02,4.449,1.595,-2.375,-2.375,-10.448,6.7
1.113,11.24,7.003,4.431,1.572,-2.405,-2.405,-10.443,6.733333333
1.124,11.218,6.992,4.422,1.553,-2.414,-2.414,-10.422,6.766666667
1.134,11.191,6.931,4.398,1.508,-2.445,-2.445,-10.451,6.8
1.142,11.137,6.89,4.352,1.482,-2.478,-2.478,-10.469,6.833333333
1.147,11.088,6.856,4.325,1.453,-2.514,-2.514,-10.511,6.866666667
1.151,11.07,6.86,4.304,1.444,-2.498,-2.498,-10.474,6.9
1.155,11.053,6.832,4.299,1.432,-2.521,-2.521,-10.479,6.933333333
1.159,11.04,6.82,4.277,1.425,-2.538,-2.538,-10.471,6.966666667
1.166,10.98,6.763,4.225,1.365,-2.564,-2.564,-10.509,7
1.177,10.973,6.746,4.206,1.351,-2.579,-2.579,-10.489,7.033333333
1.186,10.942,6.727,4.202,1.336,-2.587,-2.587,-10.51,7.066666667
1.194,10.887,6.676,4.16,1.322,-2.635,-2.635,-10.529,7.1
1.203,10.905,6.677,4.145,1.313,-2.627,-2.627,-10.516,7.133333333
1.21,10.892,6.66,4.155,1.285,-2.626,-2.626,-10.493,7.166666667
1.215,10.845,6.603,4.091,1.25,-2.668,-2.668,-10.515,7.2
1.22,10.815,6.588,4.076,1.223,-2.686,-2.686,-10.521,7.233333333
1.227,10.772,6.554,4.045,1.197,-2.723,-2.723,-10.548,7.266666667
1.235,10.752,6.552,4.018,1.186,-2.729,-2.729,-10.535,7.3
1.242,10.71,6.496,3.977,1.155,-2.759,-2.759,-10.547,7.333333333
1.251,10.734,6.51,3.987,1.175,-2.737,-2.737,-10.527,7.366666667
1.259,10.716,6.499,3.972,1.143,-2.769,-2.769,-10.53,7.4
1.268,10.7,6.468,3.963,1.145,-2.735,-2.735,-10.539,7.433333333
1.275,10.665,6.426,3.924,1.107,-2.793,-2.793,-10.537,7.466666667
1.279,10.646,6.402,3.9,1.096,-2.816,-2.816,-10.538,7.5
1.282,10.582,6.371,3.862,1.048,-2.855,-2.855,-10.563,7.533333333
1.288,10.57,6.353,3.845,1.03,-2.84,-2.84,-10.547,7.566666667
1.292,10.562,6.338,3.837,1.025,-2.87,-2.87,-10.56,7.6
1.3,10.523,6.301,3.789,0.983,-2.891,-2.891,-10.567,7.633333333
1.312,10.511,6.281,3.778,0.986,-2.909,-2.909,-10.574,7.666666667
1.323,10.499,6.265,3.779,0.971,-2.907,-2.907,-10.569,7.7
1.327,10.478,6.244,3.756,0.963,-2.92,-2.92,-10.57,7.733333333
1.333,10.447,6.208,3.719,0.922,-2.961,-2.961,-10.569,7.766666667
1.338,10.4,6.182,3.677,0.893,-2.984,-2.984,-10.598,7.8
1.344,10.391,6.141,3.647,0.876,-3.018,-3.018,-10.627,7.833333333
1.351,10.396,6.156,3.681,0.867,-2.985,-2.985,-10.58,7.866666667
1.356,10.366,6.129,3.641,0.846,-3.008,-3.008,-10.585,7.9
1.363,10.328,6.116,3.609,0.833,-3.053,-3.053,-10.592,7.933333333
1.369,10.322,6.093,3.616,0.819,-3.031,-3.031,-10.57,7.966666667
1.376,10.31,6.075,3.588,0.789,-3.073,-3.073,-10.591,8
1.383,10.279,6.049,3.57,0.791,-3.076,-3.076,-10.588,8.033333333
1.389,10.267,6.032,3.551,0.772,-3.09,-3.09,-10.6,8.066666667
1.398,10.259,6.001,3.529,0.725,-3.116,-3.116,-10.621,8.1
1.408,10.208,5.962,3.482,0.709,-3.129,-3.129,-10.628,8.133333333
1.415,10.232,5.992,3.504,0.735,-3.118,-3.118,-10.598,8.166666667
